"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de productos","Actualizar la cantidad de un producto en el carrito","SUCCESS","2024-01-16T19:54:30.1928175-05:00[America/Bogota]","0.0","0.8"
"Compra de productos","Eliminar un producto del carrito","SUCCESS","2024-01-16T19:56:12.0011825-05:00[America/Bogota]","0.0","89.82"
